sample-id	sample_type	meat_type	Meat_type	specific_sample_type	treatment	pool_timepoint	participant_id	weeks_in_pool	arm	blinded_treatment	treatment_order	Combined_order	End_washout	End_trial	End_trial_combined	unique_group	raw_paired_reads	ASV_hits	Trial	Habitating	Co-Habitating
RG4_S20	Meat Rinsate	Ground Beef	RWA Ground Beef	Ground Beef	RWA	4	NA	2	1	NA	NA						296848	140584	Meat		
RS4_S19	Meat Rinsate	Sirloin	RWA Sirloin	Sirloin	RWA	4	NA	2	1	NA	NA						232734	94800	Meat		
CG5_S22	Meat Rinsate	Ground Beef	CONV Ground Beef	Ground Beef	Conventional	5	NA	2	1	NA	NA						159952	55383	Meat		
CS5_S21	Meat Rinsate	Sirloin	CONV Sirloin	Sirloin	Conventional	5	NA	2	1	NA	NA						295898	129008	Meat		
RG5_S24	Meat Rinsate	Ground Beef	RWA Ground Beef	Ground Beef	RWA	5	NA	2	1	NA	NA						1195974	521835	Meat		
RS5_S23	Meat Rinsate	Sirloin	RWA Sirloin	Sirloin	RWA	5	NA	2	1	NA	NA						253116	102716	Meat		
CG6_S26	Meat Rinsate	Ground Beef	CONV Ground Beef	Ground Beef	Conventional	6	NA	2	1	NA	NA						280662	124463	Meat		
CS6_S25	Meat Rinsate	Sirloin	CONV Sirloin	Sirloin	Conventional	6	NA	2	1	NA	NA						245036	102714	Meat		
RG6_S28	Meat Rinsate	Ground Beef	RWA Ground Beef	Ground Beef	RWA	6	NA	2	1	NA	NA						277600	98047	Meat		
RS6_S27	Meat Rinsate	Sirloin	RWA Sirloin	Sirloin	RWA	6	NA	2	1	NA	NA						257094	103749	Meat		
CG7_S32	Meat Rinsate	Ground Beef	CONV Ground Beef	Ground Beef	Conventional	7	NA	2	1	NA	NA						212030	94400	Meat		
CS7_S29	Meat Rinsate	Sirloin	CONV Sirloin	Sirloin	Conventional	7	NA	2	1	NA	NA						272876	106108	Meat		
RG7_S34	Meat Rinsate	Ground Beef	RWA Ground Beef	Ground Beef	RWA	7	NA	2	1	NA	NA						317656	145742	Meat		
RS7_S33	Meat Rinsate	Sirloin	RWA Sirloin	Sirloin	RWA	7	NA	2	1	NA	NA						242108	104829	Meat		
CG8_S36	Meat Rinsate	Ground Beef	CONV Ground Beef	Ground Beef	Conventional	8	NA	2	1	NA	NA						298248	138717	Meat		
CS8_S35	Meat Rinsate	Sirloin	CONV Sirloin	Sirloin	Conventional	8	NA	2	1	NA	NA						228430	85220	Meat		
RG8_S38	Meat Rinsate	Ground Beef	RWA Ground Beef	Ground Beef	RWA	8	NA	2	1	NA	NA						230916	100917	Meat		
RS8_S37	Meat Rinsate	Sirloin	RWA Sirloin	Sirloin	RWA	8	NA	2	1	NA	NA						258902	112511	Meat		
RP8_S82	Rinsate Pool	NA	RP Rinsate Pool	Rinsate Pool	RP	8	NA	4	2	NA	NA						165806	53685	Meat		
CG9_S40	Meat Rinsate	Ground Beef	CONV Ground Beef	Ground Beef	Conventional	9	NA	2	2	NA	NA						571690	259255	Meat		
CS9_S39	Meat Rinsate	Sirloin	CONV Sirloin	Sirloin	Conventional	9	NA	2	2	NA	NA						2	1	Meat		
RG9_S42	Meat Rinsate	Ground Beef	RWA Ground Beef	Ground Beef	RWA	9	NA	2	2	NA	NA						335074	147682	Meat		
RS9_S41	Meat Rinsate	Sirloin	RWA Sirloin	Sirloin	RWA	9	NA	2	2	NA	NA						292016	117761	Meat		
CG10_S44	Meat Rinsate	Ground Beef	CONV Ground Beef	Ground Beef	Conventional	10	NA	2	2	NA	NA						207342	91554	Meat		
CS10_S43	Meat Rinsate	Sirloin	CONV Sirloin	Sirloin	Conventional	10	NA	2	2	NA	NA						261086	104449	Meat		
RG10_S46	Meat Rinsate	Ground Beef	RWA Ground Beef	Ground Beef	RWA	10	NA	2	2	NA	NA						302976	136094	Meat		
RS10_S45	Meat Rinsate	Sirloin	RWA Sirloin	Sirloin	RWA	10	NA	2	2	NA	NA						273122	117957	Meat		
CG11_S48	Meat Rinsate	Ground Beef	CONV Ground Beef	Ground Beef	Conventional	11	NA	2	2	NA	NA						327980	144960	Meat		
CS11_S47	Meat Rinsate	Sirloin	CONV Sirloin	Sirloin	Conventional	11	NA	2	2	NA	NA						308208	111133	Meat		
RG11_S50	Meat Rinsate	Ground Beef	RWA Ground Beef	Ground Beef	RWA	11	NA	2	2	NA	NA						325304	127081	Meat		
RS11_S49	Meat Rinsate	Sirloin	RWA Sirloin	Sirloin	RWA	11	NA	2	2	NA	NA						238794	91903	Meat		
CG12_S53	Meat Rinsate	Ground Beef	CONV Ground Beef	Ground Beef	Conventional	12	NA	2	2	NA	NA						254140	85386	Meat		
CT12_S51	Meat Rinsate	Sirloin	CONV Tloin	Tloin	Conventional	12	NA	2	2	NA	NA						325948	106457	Meat		
RG12_S52	Meat Rinsate	Ground Beef	RWA Ground Beef	Ground Beef	RWA	12	NA	2	2	NA	NA						323918	105689	Meat		
RT12_S55	Meat Rinsate	Sirloin	RWA Tloin	Tloin	RWA	12	NA	2	2	NA	NA						231034	84889	Meat		
CG13_S58	Meat Rinsate	Ground Beef	CONV Ground Beef	Ground Beef	Conventional	13	NA	2	2	NA	NA						332314	122651	Meat		
CT13_S56	Meat Rinsate	Sirloin	CONV Tloin	Tloin	Conventional	13	NA	2	2	NA	NA						263106	105419	Meat		
RT13_S59	Meat Rinsate	Sirloin	RWA Tloin	Tloin	RWA	13	NA	2	2	NA	NA						312596	103104	Meat		
CG14_S62	Meat Rinsate	Ground Beef	CONV Ground Beef	Ground Beef	Conventional	14	NA	2	2	NA	NA						322158	125083	Meat		
CT14_S60	Meat Rinsate	Sirloin	CONV Tloin	Tloin	Conventional	14	NA	2	2	NA	NA						209404	85668	Meat		
RT14_S63	Meat Rinsate	Sirloin	RWA Tloin	Tloin	RWA	14	NA	2	2	NA	NA						346350	118735	Meat		
CG15_S66	Meat Rinsate	Ground Beef	CONV Ground Beef	Ground Beef	Conventional	15	NA	2	2	NA	NA						230832	87306	Meat		
CT15_S64	Meat Rinsate	Sirloin	CONV Tloin	Tloin	Conventional	15	NA	2	2	NA	NA						241878	97448	Meat		
RG15_S65	Meat Rinsate	Ground Beef	RWA Ground Beef	Ground Beef	RWA	15	NA	2	2	NA	NA						267742	113323	Meat		
CG16_S70	Meat Rinsate	Ground Beef	CONV Ground Beef	Ground Beef	Conventional	16	NA	2	2	NA	NA						258538	117622	Meat		
CT16_S68	Meat Rinsate	Sirloin	CONV Tloin	Tloin	Conventional	16	NA	2	2	NA	NA						220532	70307	Meat		
RG16_S69	Meat Rinsate	Ground Beef	RWA Ground Beef	Ground Beef	RWA	16	NA	2	2	NA	NA						272318	117524	Meat		
RT16_S71	Meat Rinsate	Sirloin	RWA Tloin	Tloin	RWA	16	NA	2	2	NA	NA						305960	107910	Meat		
RG13_S57	Meat Rinsate	Ground Beef	RWA Ground Beef	Ground Beef	RWA	113	NA	2	2	NA	NA						276688	95905	Meat		
RB1_S73	Rinsate Blank	NA	Blank Rinsate Blank 	Rinsate Blank 	Blank	Blank	NA	4	1	NA	NA						134	32	Blank		
RB2_S74	Rinsate Blank	NA	Blank Rinsate Blank 	Rinsate Blank 	Blank	Blank	NA	4	1	NA	NA						462	127	Blank		
RB3_S75	Rinsate Blank	NA	Blank Rinsate Blank 	Rinsate Blank 	Blank	Blank	NA	4	1	NA	NA						374	129	Blank		
RB4_S76	Rinsate Blank	NA	Blank Rinsate Blank 	Rinsate Blank 	Blank	Blank	NA	4	1	NA	NA						354	114	Blank		
RB5_S77	Rinsate Blank	NA	Blank Rinsate Blank 	Rinsate Blank 	Blank	Blank	NA	4	2	NA	NA						260	91	Blank		
RB6_S78	Rinsate Blank	NA	Blank Rinsate Blank 	Rinsate Blank 	Blank	Blank	NA	4	2	NA	NA						180	56	Blank		
RB7_S79	Rinsate Blank	NA	Blank Rinsate Blank 	Rinsate Blank 	Blank	Blank	NA	4	2	NA	NA						1112	275	Blank		
RB8_S80	Rinsate Blank	NA	Blank Rinsate Blank 	Rinsate Blank 	Blank	Blank	NA	4	2	NA	NA						1012	358	Blank		
EBR1_S84	Extraction Blank	NA	Blank Extraction Blank Rinsate	Extraction Blank Rinsate	Blank	Blank	NA	NA	NA	NA	NA						2458	910	Blank		
EBR2_S85	Extraction Blank	NA	Blank Extraction Blank Rinsate	Extraction Blank Rinsate	Blank	Blank	NA	NA	NA	NA	NA						248	82	Blank		
EBRM1_S1	Extraction Blank	NA	Blank Extraction Blank Meat	Extraction Blank Meat	Blank	Blank	NA	NA	NA	NA	NA						414	111	Blank		
EBRM2_S2	Extraction Blank	NA	Blank Extraction Blank Meat	Extraction Blank Meat	Blank	Blank	NA	NA	NA	NA	NA						1098	370	Blank		
HFT-F-EB1_S20	Extraction Blank	NA	Blank Extraction Blank Fecal	Extraction Blank Fecal	Blank	Blank	NA	NA	NA	NA	NA						4	2	Blank		
HFT-F-EB3_S168	Extraction Blank	NA	Blank Extraction Blank Fecal	Extraction Blank Fecal	Blank	Blank	NA	NA	NA	NA	NA						4	2	Blank		
HFT-F-NTC1_S2	Negative Template Control	NA	Blank Negative Template Control Fecal	Negative Template Control Fecal	Blank	Blank	NA	NA	NA	NA	NA						2	0	Blank		
NTCM1_S3	Negative Template Control	NA	Blank Negative Template Control Meat	Negative Template Control Meat	Blank	Blank	NA	NA	NA	NA	NA						190	36	Blank		
NTCM2_S4	Negative Template Control	NA	Blank Negative Template Control Meat	Negative Template Control Meat	Blank	Blank	NA	NA	NA	NA	NA						62	13	Blank		
NTCM3_S30	Negative Template Control	NA	Blank Negative Template Control Meat	Negative Template Control Meat	Blank	Blank	NA	NA	NA	NA	NA						136	33	Blank		
NTCM4_S31	Negative Template Control	NA	Blank Negative Template Control Meat	Negative Template Control Meat	Blank	Blank	NA	NA	NA	NA	NA						228	67	Blank		
NTCM5_S54	Negative Template Control	NA	Blank Negative Template Control Meat	Negative Template Control Meat	Blank	Blank	NA	NA	NA	NA	NA						104	36	Blank		
NTCM6_S72	Negative Template Control	NA	Blank Negative Template Control Meat	Negative Template Control Meat	Blank	Blank	NA	NA	NA	NA	NA						138	24	Blank		
NTCR8_S83	Negative Template Control	NA	Blank Negative Template Control Rinsate	Negative Template Control Rinsate	Blank	Blank	NA	NA	NA	NA	NA						20	3	Blank		
